name,path,level0,level1,level2,level3,level4
toilet03.jpg,../images/places/landmark/inside/structure/toilet/toilet03.jpg,places,landmark,inside,structure,toilet
toilet17.jpg,../images/places/landmark/inside/structure/toilet/toilet17.jpg,places,landmark,inside,structure,toilet
toilet18.jpg,../images/places/landmark/inside/structure/toilet/toilet18.jpg,places,landmark,inside,structure,toilet
toilet19.jpg,../images/places/landmark/inside/structure/toilet/toilet19.jpg,places,landmark,inside,structure,toilet
toilet01.jpg,../images/places/landmark/inside/structure/toilet/toilet01.jpg,places,landmark,inside,structure,toilet
toilet16.jpg,../images/places/landmark/inside/structure/toilet/toilet16.jpg,places,landmark,inside,structure,toilet
toilet12.jpg,../images/places/landmark/inside/structure/toilet/toilet12.jpg,places,landmark,inside,structure,toilet
toilet15.jpg,../images/places/landmark/inside/structure/toilet/toilet15.jpg,places,landmark,inside,structure,toilet
toilet04.jpg,../images/places/landmark/inside/structure/toilet/toilet04.jpg,places,landmark,inside,structure,toilet
toilet05.jpg,../images/places/landmark/inside/structure/toilet/toilet05.jpg,places,landmark,inside,structure,toilet
toilet14.jpg,../images/places/landmark/inside/structure/toilet/toilet14.jpg,places,landmark,inside,structure,toilet
toilet20.jpg,../images/places/landmark/inside/structure/toilet/toilet20.jpg,places,landmark,inside,structure,toilet
toilet08.jpg,../images/places/landmark/inside/structure/toilet/toilet08.jpg,places,landmark,inside,structure,toilet
toilet11.jpg,../images/places/landmark/inside/structure/toilet/toilet11.jpg,places,landmark,inside,structure,toilet
toilet09.jpg,../images/places/landmark/inside/structure/toilet/toilet09.jpg,places,landmark,inside,structure,toilet
toilet06.jpg,../images/places/landmark/inside/structure/toilet/toilet06.jpg,places,landmark,inside,structure,toilet
toilet13.jpg,../images/places/landmark/inside/structure/toilet/toilet13.jpg,places,landmark,inside,structure,toilet
toilet02.jpg,../images/places/landmark/inside/structure/toilet/toilet02.jpg,places,landmark,inside,structure,toilet
toilet07.jpg,../images/places/landmark/inside/structure/toilet/toilet07.jpg,places,landmark,inside,structure,toilet
toilet10.jpg,../images/places/landmark/inside/structure/toilet/toilet10.jpg,places,landmark,inside,structure,toilet
sink06.jpg,../images/places/landmark/inside/structure/sink/sink06.jpg,places,landmark,inside,structure,sink
sink07.jpg,../images/places/landmark/inside/structure/sink/sink07.jpg,places,landmark,inside,structure,sink
sink19.jpg,../images/places/landmark/inside/structure/sink/sink19.jpg,places,landmark,inside,structure,sink
sink03.jpg,../images/places/landmark/inside/structure/sink/sink03.jpg,places,landmark,inside,structure,sink
sink12.jpg,../images/places/landmark/inside/structure/sink/sink12.jpg,places,landmark,inside,structure,sink
sink16.jpg,../images/places/landmark/inside/structure/sink/sink16.jpg,places,landmark,inside,structure,sink
sink08.jpg,../images/places/landmark/inside/structure/sink/sink08.jpg,places,landmark,inside,structure,sink
sink20.jpg,../images/places/landmark/inside/structure/sink/sink20.jpg,places,landmark,inside,structure,sink
sink14.jpg,../images/places/landmark/inside/structure/sink/sink14.jpg,places,landmark,inside,structure,sink
sink15.jpg,../images/places/landmark/inside/structure/sink/sink15.jpg,places,landmark,inside,structure,sink
sink05.jpg,../images/places/landmark/inside/structure/sink/sink05.jpg,places,landmark,inside,structure,sink
sink17.jpg,../images/places/landmark/inside/structure/sink/sink17.jpg,places,landmark,inside,structure,sink
sink02.jpg,../images/places/landmark/inside/structure/sink/sink02.jpg,places,landmark,inside,structure,sink
sink09.jpg,../images/places/landmark/inside/structure/sink/sink09.jpg,places,landmark,inside,structure,sink
sink10.jpg,../images/places/landmark/inside/structure/sink/sink10.jpg,places,landmark,inside,structure,sink
sink11.jpg,../images/places/landmark/inside/structure/sink/sink11.jpg,places,landmark,inside,structure,sink
sink13.jpg,../images/places/landmark/inside/structure/sink/sink13.jpg,places,landmark,inside,structure,sink
sink04.jpg,../images/places/landmark/inside/structure/sink/sink04.jpg,places,landmark,inside,structure,sink
sink01.jpg,../images/places/landmark/inside/structure/sink/sink01.jpg,places,landmark,inside,structure,sink
sink18.jpg,../images/places/landmark/inside/structure/sink/sink18.jpg,places,landmark,inside,structure,sink
shower01.jpg,../images/places/landmark/inside/structure/shower/shower01.jpg,places,landmark,inside,structure,shower
shower02.jpg,../images/places/landmark/inside/structure/shower/shower02.jpg,places,landmark,inside,structure,shower
shower19.jpg,../images/places/landmark/inside/structure/shower/shower19.jpg,places,landmark,inside,structure,shower
shower17.jpg,../images/places/landmark/inside/structure/shower/shower17.jpg,places,landmark,inside,structure,shower
shower14.jpg,../images/places/landmark/inside/structure/shower/shower14.jpg,places,landmark,inside,structure,shower
shower05.jpg,../images/places/landmark/inside/structure/shower/shower05.jpg,places,landmark,inside,structure,shower
shower11.jpg,../images/places/landmark/inside/structure/shower/shower11.jpg,places,landmark,inside,structure,shower
shower16.jpg,../images/places/landmark/inside/structure/shower/shower16.jpg,places,landmark,inside,structure,shower
shower09.jpg,../images/places/landmark/inside/structure/shower/shower09.jpg,places,landmark,inside,structure,shower
shower04.jpg,../images/places/landmark/inside/structure/shower/shower04.jpg,places,landmark,inside,structure,shower
shower07.jpg,../images/places/landmark/inside/structure/shower/shower07.jpg,places,landmark,inside,structure,shower
shower10.jpg,../images/places/landmark/inside/structure/shower/shower10.jpg,places,landmark,inside,structure,shower
shower12.jpg,../images/places/landmark/inside/structure/shower/shower12.jpg,places,landmark,inside,structure,shower
shower20.jpg,../images/places/landmark/inside/structure/shower/shower20.jpg,places,landmark,inside,structure,shower
shower13.jpg,../images/places/landmark/inside/structure/shower/shower13.jpg,places,landmark,inside,structure,shower
shower08.jpg,../images/places/landmark/inside/structure/shower/shower08.jpg,places,landmark,inside,structure,shower
shower06.jpg,../images/places/landmark/inside/structure/shower/shower06.jpg,places,landmark,inside,structure,shower
shower03.jpg,../images/places/landmark/inside/structure/shower/shower03.jpg,places,landmark,inside,structure,shower
shower15.jpg,../images/places/landmark/inside/structure/shower/shower15.jpg,places,landmark,inside,structure,shower
shower18.jpg,../images/places/landmark/inside/structure/shower/shower18.jpg,places,landmark,inside,structure,shower
bathtub06.jpg,../images/places/landmark/inside/structure/bathtub/bathtub06.jpg,places,landmark,inside,structure,bathtub
bathtub07.jpg,../images/places/landmark/inside/structure/bathtub/bathtub07.jpg,places,landmark,inside,structure,bathtub
bathtub18.jpg,../images/places/landmark/inside/structure/bathtub/bathtub18.jpg,places,landmark,inside,structure,bathtub
bathtub03.jpg,../images/places/landmark/inside/structure/bathtub/bathtub03.jpg,places,landmark,inside,structure,bathtub
bathtub08.jpg,../images/places/landmark/inside/structure/bathtub/bathtub08.jpg,places,landmark,inside,structure,bathtub
bathtub15.jpg,../images/places/landmark/inside/structure/bathtub/bathtub15.jpg,places,landmark,inside,structure,bathtub
bathtub17.jpg,../images/places/landmark/inside/structure/bathtub/bathtub17.jpg,places,landmark,inside,structure,bathtub
bathtub13.jpg,../images/places/landmark/inside/structure/bathtub/bathtub13.jpg,places,landmark,inside,structure,bathtub
bathtub10.jpg,../images/places/landmark/inside/structure/bathtub/bathtub10.jpg,places,landmark,inside,structure,bathtub
bathtub12.jpg,../images/places/landmark/inside/structure/bathtub/bathtub12.jpg,places,landmark,inside,structure,bathtub
bathtub20.jpg,../images/places/landmark/inside/structure/bathtub/bathtub20.jpg,places,landmark,inside,structure,bathtub
bathtub09.jpg,../images/places/landmark/inside/structure/bathtub/bathtub09.jpg,places,landmark,inside,structure,bathtub
bathtub04.jpg,../images/places/landmark/inside/structure/bathtub/bathtub04.jpg,places,landmark,inside,structure,bathtub
bathtub02.jpg,../images/places/landmark/inside/structure/bathtub/bathtub02.jpg,places,landmark,inside,structure,bathtub
bathtub05.jpg,../images/places/landmark/inside/structure/bathtub/bathtub05.jpg,places,landmark,inside,structure,bathtub
bathtub01.jpg,../images/places/landmark/inside/structure/bathtub/bathtub01.jpg,places,landmark,inside,structure,bathtub
bathtub11.jpg,../images/places/landmark/inside/structure/bathtub/bathtub11.jpg,places,landmark,inside,structure,bathtub
bathtub14.jpg,../images/places/landmark/inside/structure/bathtub/bathtub14.jpg,places,landmark,inside,structure,bathtub
bathtub16.jpg,../images/places/landmark/inside/structure/bathtub/bathtub16.jpg,places,landmark,inside,structure,bathtub
bathtub19.jpg,../images/places/landmark/inside/structure/bathtub/bathtub19.jpg,places,landmark,inside,structure,bathtub
urinal13.jpg,../images/places/landmark/inside/structure/urinal/urinal13.jpg,places,landmark,inside,structure,urinal
urinal02.jpg,../images/places/landmark/inside/structure/urinal/urinal02.jpg,places,landmark,inside,structure,urinal
urinal04.jpg,../images/places/landmark/inside/structure/urinal/urinal04.jpg,places,landmark,inside,structure,urinal
urinal05.jpg,../images/places/landmark/inside/structure/urinal/urinal05.jpg,places,landmark,inside,structure,urinal
urinal01.jpg,../images/places/landmark/inside/structure/urinal/urinal01.jpg,places,landmark,inside,structure,urinal
urinal18.jpg,../images/places/landmark/inside/structure/urinal/urinal18.jpg,places,landmark,inside,structure,urinal
